school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject,_student_key,check_not_null_school,check_not_null_subject,check_range_G1_0_20,check_range_G2_0_20,check_range_G3_0_20,check_absences_ge_0,check_age_between_10_30,check_unique_student_key
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16,Math,74a121a6005e244503b65ee091b1177e,True,True,True,True,True,True,True,False
GP,F,16,U,GT3,T,4,3,teacher,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,1,3,2,1,1,1,10,11,12,13,Math,b2c687cc1bccaf987ccb9a9ec23baadf,True,True,True,True,True,True,True,False
GP,M,16,U,GT3,T,0,2,other,other,other,mother,1,1,0,no,no,yes,no,no,yes,yes,no,4,3,2,2,4,5,0,13,15,15,Math,613ae330745cc895e5546156d23cfaab,True,True,True,True,True,True,True,False
GP,F,18,U,GT3,T,4,4,teacher,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,3,3,5,2,11,11,11,Math,deca32ffd93591a4283e370dfb4fe767,True,True,True,True,True,True,True,False
GP,F,18,U,GT3,T,3,3,services,services,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,4,1,1,4,0,7,0,0,Math,cd21837fce0263b73cb9459f1ad506dc,True,True,True,True,True,True,True,False
GP,F,18,U,LE3,T,2,2,other,other,home,other,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,3,1,1,2,0,8,8,0,Math,03194f436527f5a057ce31f4e70b74d3,True,True,True,True,True,True,True,False
GP,F,17,R,GT3,A,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,2,4,9,10,10,Math,815ffdf33d678c0ff546ccaa6bfd40b6,True,True,True,True,True,True,True,False
MS,M,18,R,GT3,T,1,3,at_home,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,3,3,4,2,4,3,4,10,10,10,Math,131c30af7275c04e1c4240b6320c07ec,True,True,True,True,True,True,True,False
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13,Portuguese,dc6c717795fe4cc60ebbf958e01bd9c1,True,True,True,True,True,True,True,False
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13,Portuguese,09994298cf39e7e6f34480f3733ea584,True,True,True,True,True,True,True,False
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,Portuguese,65f0a0de99a501bf8bd417388e4e745d,True,True,True,True,True,True,True,False
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16,Portuguese,dac65cf42b31ea832ba4cb391cff5334,True,True,True,True,True,True,True,False
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,Portuguese,cd05d5bd912da8a2ead9407bdaca48ae,True,True,True,True,True,True,True,False
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11,Portuguese,acabaefec40497bd6ff17a680fbcef3c,True,True,True,True,True,True,True,False
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12,Portuguese,35765152e9861f92b60da41f5970fe22,True,True,True,True,True,True,True,False
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,13,14,14,Portuguese,af876a26d25cdbbe18f7188c272ce253,True,True,True,True,True,True,True,False
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,4,11,11,11,Portuguese,c8d2670201dc598ff8946745594b25b6,True,True,True,True,True,True,True,False
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0,14,14,14,Portuguese,fd1083fc671daa34eec272dde62172e1,True,True,True,True,True,True,True,False
GP,F,16,R,GT3,T,1,1,at_home,other,course,mother,4,2,0,no,yes,no,no,yes,yes,no,no,5,1,3,1,1,3,0,14,13,13,Portuguese,09994298cf39e7e6f34480f3733ea584,True,True,True,True,True,True,True,False
GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,0,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0,12,11,11,Portuguese,bdbb9a6c3f43b64f275fd25370a6a431,True,True,True,True,True,True,True,False
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,2,13,13,13,Portuguese,270a8bb42961396163c8cff8b7b0fa67,True,True,True,True,True,True,True,False
GP,F,16,U,GT3,T,1,3,at_home,services,home,mother,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,5,1,1,3,0,14,13,13,Portuguese,09994298cf39e7e6f34480f3733ea584,True,True,True,True,True,True,True,False
GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,2,1,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,4,5,2,12,13,13,Portuguese,42b9edc572b665631b3660441146d665,True,True,True,True,True,True,True,False
GP,M,17,U,LE3,T,2,3,services,services,reputation,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,3,3,0,10,11,11,Portuguese,d95d3e2e7c3b5b402d06faa077297c6a,True,True,True,True,True,True,True,False
GP,M,16,U,GT3,T,4,4,health,other,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,2,4,1,0,13,13,14,Portuguese,76c90194f343882d4b57efa316241817,True,True,True,True,True,True,True,False
GP,F,16,U,GT3,A,4,1,other,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,2,5,0,14,13,13,Portuguese,09994298cf39e7e6f34480f3733ea584,True,True,True,True,True,True,True,False
GP,M,17,R,GT3,T,2,2,other,services,other,mother,2,1,0,no,no,no,no,no,no,no,no,5,2,2,1,1,4,0,9,10,10,Portuguese,1251e8ce0ff8757d065c1055815b1aa7,True,True,True,True,True,True,True,False
GP,M,17,U,GT3,T,2,2,other,other,home,father,2,1,0,no,no,no,no,yes,no,yes,no,4,4,4,2,3,4,8,8,8,9,Portuguese,2825ed316de2456ed5795d94df10a50f,True,True,True,True,True,True,True,False
GP,M,17,U,GT3,T,1,1,other,other,reputation,father,1,2,0,no,no,no,no,no,yes,yes,no,4,3,3,1,2,4,0,12,12,12,Portuguese,c8d7cdab5e29aa803d8d5717ab58c079,True,True,True,True,True,True,True,False
GP,M,18,R,LE3,T,3,2,services,other,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,1,4,0,14,15,15,Portuguese,295aad1ec20392aeac66eda055a02fe7,True,True,True,True,True,True,True,False
GP,M,17,U,LE3,T,4,4,other,teacher,home,father,2,1,0,no,no,no,no,yes,yes,yes,no,4,1,1,2,2,5,0,12,13,13,Portuguese,9f04d81467ab372c27eecb5d1ed4bae9,True,True,True,True,True,True,True,False
GP,F,17,U,GT3,T,2,3,other,other,course,father,2,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,1,1,1,3,2,11,12,14,Portuguese,f463e2339e136bd238130f6607671395,True,True,True,True,True,True,True,False
GP,F,18,U,GT3,T,3,4,other,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,5,4,4,1,1,1,4,11,12,14,Portuguese,8a05bc6138c0f1a6686b9f5f30971c4e,True,True,True,True,True,True,True,False
GP,F,17,U,GT3,T,4,4,health,health,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,3,4,1,2,5,2,14,15,17,Portuguese,9f00158690322a3289e502217d4f7c14,True,True,True,True,True,True,True,False
GP,F,17,U,LE3,A,3,3,services,other,home,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,5,3,3,1,1,5,0,12,12,13,Portuguese,630096fcda940b8acdf79056d5da33f5,True,True,True,True,True,True,True,False
GP,F,17,U,LE3,T,2,1,other,other,home,father,1,2,0,no,no,no,yes,yes,yes,yes,no,4,2,3,2,2,2,2,11,12,14,Portuguese,f463e2339e136bd238130f6607671395,True,True,True,True,True,True,True,False
GP,F,17,U,GT3,T,3,1,services,services,course,father,1,3,0,no,yes,no,no,no,yes,yes,no,3,4,3,2,3,5,0,17,18,17,Portuguese,5f281be8ac402909adab78cad8f7e552,True,True,True,True,True,True,True,False
GP,F,17,U,GT3,T,4,4,teacher,teacher,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,4,3,3,1,2,4,4,15,14,15,Portuguese,7e645c3893631ab851e53b2c4d4baeba,True,True,True,True,True,True,True,False
GP,F,18,U,GT3,T,3,3,services,services,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,4,1,1,4,8,10,11,12,Portuguese,66604e2142af0585d53f6e80b20bd424,True,True,True,True,True,True,True,False
MS,M,16,R,GT3,T,1,2,other,other,course,father,2,2,0,no,no,no,no,yes,yes,no,no,4,3,3,1,1,5,0,10,11,11,Portuguese,a223ed5f2f9bf13f87ad84cc991ce973,True,True,True,True,True,True,True,False
MS,F,15,R,GT3,T,1,1,at_home,at_home,course,father,3,2,0,no,yes,no,no,yes,yes,no,no,4,2,1,1,2,2,0,13,14,14,Portuguese,3e4737273f7ed3cd4ee278706a87efd8,True,True,True,True,True,True,True,False
MS,F,15,R,LE3,T,1,1,at_home,other,course,mother,2,1,0,no,yes,no,no,yes,no,no,yes,5,2,1,1,3,4,0,9,10,9,Portuguese,9d279eaca6ea4fdef121c53b33a7b2f8,True,True,True,True,True,True,True,False
MS,M,16,R,LE3,T,4,1,other,at_home,other,father,1,1,0,no,no,no,no,yes,yes,yes,no,4,1,2,2,1,2,0,10,11,11,Portuguese,a223ed5f2f9bf13f87ad84cc991ce973,True,True,True,True,True,True,True,False
MS,M,16,R,LE3,T,1,2,other,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,no,no,4,4,4,2,4,5,4,9,10,11,Portuguese,52c369d4a04ccaced274ef23c9231926,True,True,True,True,True,True,True,False
MS,F,17,U,GT3,T,4,2,other,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,2,4,0,17,18,18,Portuguese,f6156f9bd8d4f510ceaa538ced02850a,True,True,True,True,True,True,True,False
MS,M,17,R,GT3,T,4,3,services,other,home,mother,2,2,1,no,yes,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,4,10,11,11,Portuguese,5f11419de581aa363406344bdbe00aac,True,True,True,True,True,True,True,False
MS,F,18,U,GT3,T,2,3,at_home,services,course,father,2,1,0,no,yes,no,no,yes,yes,yes,yes,5,2,3,1,2,4,0,10,10,10,Portuguese,0418e5a9bb0f77ea3834c09a3995c07b,True,True,True,True,True,True,True,False
MS,M,18,R,GT3,T,4,2,other,other,home,father,2,1,1,no,no,yes,no,yes,yes,no,no,5,4,3,4,3,3,0,7,7,0,Portuguese,46a0c7d31c15d70a749b24d0b11a85b2,True,True,True,True,True,True,True,False
